spectrum_path,valid_fraction
DeMeo2009data_gp/a000378.sp12.txt,0.9352
Binzel2019data_gp/a003691.visnir.txt,0.9352
Binzel2019data_gp/a200840.visnir.txt,0.9352
Binzel2019data_gp/a283460.visnir.txt,0.9352
DeMeo2009data_gp/a000003.sp21.txt,0.9377
DeMeo2009data_gp/a000675.sp12.txt,0.9377
DeMeo2009data_gp/a000729.sp07.txt,0.9377
DeMeo2009data_gp/a001198.sp19.txt,0.9377
DeMeo2009data_gp/a006386.sp36.txt,0.9377
DeMeo2009data_gp/a018736.sp03.txt,0.9377
DeMeo2009data_gp/a036284.sp11.txt,0.9377
Binzel2019data_gp/a003833.visnir.txt,0.9377
Binzel2019data_gp/a138524.visnir.txt,0.9377
DeMeo2009data_gp/a000040.sp32.txt,0.9401
DeMeo2009data_gp/a000064.sp03.txt,0.9401
DeMeo2009data_gp/a000925.sp18.txt,0.9401
DeMeo2009data_gp/a001332.sp42.txt,0.9401
DeMeo2009data_gp/a020786.sp25.txt,0.9401
DeMeo2009data_gp/a086450.sp03.txt,0.9401
Binzel2019data_gp/a003988.visnir.txt,0.9401
Binzel2019data_gp/a016834.visnir.txt,0.9401
Binzel2019data_gp/a033342.visnir.txt,0.9401
Binzel2019data_gp/a065996.visnir.txt,0.9401
Binzel2019data_gp/a161998.visnir.txt,0.9401
DeMeo2009data_gp/a000387.sp22.txt,0.9426
DeMeo2009data_gp/a066146.sp25.txt,0.9426
Binzel2019data_gp/a024445.visnir.txt,0.9426
Binzel2019data_gp/a032906.visnir.txt,0.9426
DeMeo2009data_gp/a001685.sp37.txt,0.9451
DeMeo2009data_gp/a002965.sp40.txt,0.9451
Binzel2019data_gp/a326290.visnir.txt,0.9451
Binzel2019data_gp/a471240.visnir.txt,0.9451
DeMeo2009data_gp/a000028.sp09.txt,0.9476
DeMeo2009data_gp/a000101.sp57.txt,0.9476
DeMeo2009data_gp/a000130.sp05.txt,0.9476
DeMeo2009data_gp/a002396.sp07.txt,0.9476
DeMeo2009data_gp/a003873.sp19.txt,0.9476
Binzel2019data_gp/a002078.visnir.txt,0.9476
Binzel2019data_gp/a005626.visnir.txt,0.9476
Binzel2019data_gp/a007482.visnir.txt,0.9476
Binzel2019data_gp/a011405.visnir.txt,0.9476
Binzel2019data_gp/a085818.visnir.txt,0.9476
Binzel2019data_gp/a085989.visnir.txt,0.9476
Binzel2019data_gp/a101955.visnir.txt,0.9476
Binzel2019data_gp/a138404.visnir.txt,0.9476
DeMeo2009data_gp/a000151.sp47.txt,0.9501
DeMeo2009data_gp/a000181.sp25.txt,0.9501
DeMeo2009data_gp/a000237.sp12.txt,0.9501
DeMeo2009data_gp/a000716.sp08.txt,0.9501
Binzel2019data_gp/a001865.visnir.txt,0.9501
Binzel2019data_gp/a302311.visnir.txt,0.9501
Binzel2019data_gp/a452561.visnir.txt,0.9501
DeMeo2009data_gp/a000288.sp18.txt,0.9526
DeMeo2009data_gp/a001866.sp56.txt,0.9526
DeMeo2009data_gp/a001943.sp09.txt,0.9526
Binzel2019data_gp/a003352.visnir.txt,0.9526
Binzel2019data_gp/a066251.visnir.txt,0.9526
Binzel2019data_gp/a452561.visnir_xth.txt,0.9526
